39738,JAN  DATA  300gm X 24poly,Export
39739,JAN  GREEN CHILLI 300gm X 24poly,Export
39740,JAN OKRA 300gm X 24poly,Export
39741,JAN OSTA 300gm X 24poly,Export
39742,JAN PATOL 300gm X 24poly,Export
39743,JAN BEEN SEED 300gm X 24poly,Export
39744,JAN GREEN MANGO 300gm X 24poly,Export
39745,JAN  GREEN OLIVE  300gm X 24poly,Export
39746,JAN  KACHUR LATI 300gm X 24poly,Export
39747,JAN  KACHUR MUKHI 300gm X 24poly,Export
39748,JAN KOROLLA 300gm X 24poly,Export
39749,JAN  LAL SAAG  300gm X 24poly,Export
39778,PREMIUM FROZEN CASSAVA 2KG  x 10PACKS,Export
39787,RED ROSE  DATA  400gm X 24poly,Export
39788,RED ROSE KAKROL 400gmX24poly,Export
39789,RED ROSE KOROLLA 400gm X 24poly,Export
39790,RED ROSE BEEN SEED 400gm X 24poly,Export
39791,RED ROSE GREEN BEAN(Seem) 400gm X 24poly,Export
39792,RED ROSE GREEN CHILLI 400gm X 24poly,Export
39793,RED ROSE KACHUR MUKHI 400gm X 24poly,Export
39794,RED ROSE LAL SAAG  400gm X 24poly,Export
39934,Asian Foods Veg.Samosa(Reg.patty like 80gm)(40gmX10pX24PACK),Export
39935,Asian Foods Veg.Samosa(with Chana Dal)(40gm X10pX24PACK),Export
39936,PRAN Taza Frozen green chilli (400 gmx24 Pack),Export
39937,PRAN Taza Frozen Korolla (300 gmx24 Pack),Export
39938,PRAN Taza Frozen Jackfruit seed (400 gmx24 Pack),Export
39963,PRAN Paratha 1200gm 15pcs /pack x 6pack,Export
39964,PRAN Paratha 2000gm 25 pcs /packx6pack,Export
39965,Red Rose Jack Fruit Seeds 400 gmx24 Pack,Export
39966,Red Rose Kachur Lati 400 gmx24 Pack,Export
40043,C I Iron Scrap,Export
40049,Scrap-Wastage Paper Carton,Export
40050,Paper Bobbin,Export
40055,Scrap--Wastage Flour,Export
40072,Scrap-Plastic Suger Bag-50 kg (With Poly)- Ave,Export
40086,Wastage Polythine (Average),Export
40129,Iron Scrap,Export
40218,Rejected Pet Bottle,Export
40240,Rejected Drum (Plastic),Export
40270,Gas Cylinder,Export
40271,Wastage Polithine ( Dirty),Export
